neighbourhood_n,number_of_reviews,minimum_nights,availability_365,room_type_n,price
6,0,4,0,0,41
6,21,2,362,0,65
7,1,2,9,1,250
28,0,1,179,1,188
45,1,1,0,1,80
21,0,1,97,0,60
7,24,1,165,0,179
16,18,5,0,1,145
20,0,1,0,0,75
132,9,3,90,0,165
56,45,4,170,1,130
134,1,1,174,0,40
15,3,3,89,1,120
150,41,2,342,1,125
7,41,3,0,1,135
12,72,2,331,1,451
60,19,3,42,0,145
46,0,2,90,0,75
6,91,5,248,2,30
26,8,2,0,0,70
98,147,2,213,0,60
21,0,4,149,0,65
21,3,7,1,1,180
15,4,3,89,0,349
2,3,4,0,0,160
76,15,2,236,0,70
46,15,1,164,0,39
12,22,3,58,1,96
15,8,3,0,0,45
80,0,1,365,0,200
3,0,3,0,1,275
16,4,2,0,1,100
3,115,4,26,0,119
11,4,3,0,0,75
12,73,3,359,0,89
20,8,6,0,1,225
93,103,2,73,1,75
177,18,2,36,0,23
23,10,2,75,0,355
21,14,3,5,1,95
1,20,3,86,1,339
20,34,3,74,0,189
21,70,3,170,1,149
44,15,1,67,0,59
2,3,1,0,0,88
19,92,5,8,0,90
12,1,3,74,1,150
37,66,5,141,0,60
71,0,1,351,0,100
88,11,1,363,1,130
142,0,1,90,0,140
9,42,2,99,0,90
21,0,2,0,0,55
12,75,3,112,1,319
2,162,1,73,1,201
22,2,2,287,0,65
183,2,5,178,0,42
2,0,1,0,1,130
56,0,5,0,1,130
12,0,7,0,0,60
7,1,1,294,0,410
12,0,5,38,0,80
16,67,1,264,1,132
2,133,1,13,0,81
28,0,3,0,1,210
8,26,2,2,1,295
3,0,1,0,1,100
12,25,3,0,1,160
21,0,1,0,0,45
6,123,3,211,1,180
2,1,7,0,0,115
12,7,2,0,1,165
7,7,5,22,1,220
15,5,1,361,0,50
29,6,3,0,1,125
19,46,2,320,1,225
56,70,4,348,0,78
19,6,1,170,1,85
90,5,4,0,1,100
26,3,3,0,1,100
184,5,3,246,1,99
12,33,3,127,0,67
8,0,2,0,2,70
5,17,3,14,2,150
19,21,3,0,1,250
19,21,7,10,1,199
70,1,2,90,0,79
218,21,3,59,1,75
31,12,2,137,1,250
30,11,4,319,1,150
43,3,2,333,1,214
21,3,2,0,0,40
5,1,1,2,0,80
19,1,4,0,0,79
22,5,4,7,0,100
22,0,1,0,0,47
202,17,1,325,0,45
21,3,1,0,0,30
15,1,3,0,0,50
29,1,3,179,0,100
43,10,2,319,1,236
4,5,1,83,0,150
7,30,2,3,0,115
28,2,2,37,1,145
2,8,7,178,0,115
82,0,7,267,1,110
11,0,1,0,0,150
12,117,2,262,1,315
56,0,4,0,1,79
8,5,7,10,1,149
19,19,2,32,0,130
21,0,5,0,0,40
15,0,7,59,0,65
118,92,1,79,0,59
7,72,2,10,1,165
70,145,2,356,1,99
21,35,1,0,0,40
85,12,2,365,1,298
49,1,1,0,1,119
13,19,5,301,1,355
8,13,10,7,1,135
20,5,6,0,1,110
27,27,2,101,1,230
43,1,2,258,1,244
68,1,2,10,1,250
27,1,1,0,0,106
81,49,3,307,0,45
6,4,1,240,0,63
12,0,1,2,0,55
2,4,1,179,0,80
11,64,5,329,1,200
5,10,4,364,0,132
147,30,3,62,0,49
76,53,2,36,1,90
21,1,2,0,1,125
8,0,2,225,1,800
23,2,3,0,0,100
6,18,3,0,1,175
181,61,2,68,1,62
27,4,4,21,1,160
19,0,6,140,1,299
23,5,3,361,0,120
22,76,3,253,0,38
8,2,1,0,0,65
43,6,2,272,1,245
21,3,3,0,1,115
43,1,2,357,1,228
6,1,10,59,0,69
19,26,1,0,0,110
22,25,2,0,0,75
12,1,2,28,1,895
24,1,2,25,1,150
11,2,2,79,1,175
23,0,2,296,0,125
48,35,3,223,1,499
12,13,2,0,1,95
12,18,4,341,0,92
21,1,2,0,0,60
8,0,9,0,1,125
39,9,3,112,0,76
14,24,4,264,1,349
15,68,1,313,1,500
106,67,1,344,1,300
14,3,3,0,1,225
37,77,1,365,0,55
12,3,3,0,1,180
1,1,3,0,1,350
43,5,2,347,1,228
22,12,1,50,0,75
14,22,2,0,1,69
62,4,1,124,1,200
39,6,7,337,0,33
85,3,2,359,1,246
111,55,1,59,0,54
6,1,3,0,0,125
12,0,1,0,0,50
12,176,3,37,0,79
147,11,2,51,1,300
45,0,3,364,0,300
54,1,2,0,0,40
71,5,1,304,0,300
32,26,3,0,1,150
23,40,1,62,0,333
21,25,2,54,0,45
2,2,5,0,1,80
13,1,3,107,1,150
28,1,2,0,1,89
2,1,2,0,1,95
126,41,2,154,0,45
12,1,6,0,1,115
12,51,3,71,1,219
6,5,3,341,0,65
3,8,2,0,1,175
24,0,1,0,0,65
51,1,2,0,0,60
19,191,1,0,0,130
129,89,3,189,0,53
8,1,2,0,1,159
44,1,4,0,0,65
6,13,1,268,0,30
6,195,1,46,0,79
19,46,2,307,0,110
4,7,6,0,1,155
106,3,2,133,0,300
1,0,3,65,1,229
8,3,1,0,1,250
63,2,1,0,0,45
43,9,2,272,1,247
6,23,2,0,0,67
7,97,1,132,0,129
28,7,4,328,1,284
85,3,2,186,0,70
43,32,4,39,1,160
7,1,3,0,1,200
6,22,1,282,0,60
21,1,1,0,0,80
43,3,1,0,1,190
12,7,2,0,1,200
20,2,7,0,1,225
81,31,5,64,1,120
6,2,2,0,0,70
3,0,5,0,1,99
123,16,3,0,1,185
21,9,1,55,0,68
45,12,1,0,1,145
6,3,2,114,1,265
0,34,1,1,0,70
7,5,7,122,1,259
6,13,7,227,0,50
7,3,2,0,0,155
30,20,2,223,0,75
15,1,2,365,1,335
12,0,1,43,0,75
70,55,5,139,1,80
34,0,1,0,0,155
2,15,3,116,1,115
6,5,2,64,1,130
19,12,3,151,1,149
6,43,2,110,0,56
5,1,1,0,1,200
22,22,7,269,0,49
6,31,4,0,2,45
6,4,2,168,0,58
5,6,4,138,1,500
22,46,1,260,0,90
20,9,2,0,0,75
6,1,1,0,0,40
32,3,1,0,1,110
15,0,3,256,1,90
20,37,3,258,1,170
68,8,2,0,0,74
15,0,7,0,1,65
28,11,2,240,0,69
56,7,1,325,0,70
21,12,1,358,0,59
21,6,4,0,0,100
15,0,15,34,1,99
63,26,1,284,0,99
25,113,1,57,0,40
141,0,1,0,0,125
3,2,4,22,1,150
15,2,1,365,0,100
28,109,1,190,1,195
19,17,4,0,1,125
6,12,5,137,1,120
28,4,2,12,1,111
6,34,4,340,1,130
25,20,14,2,0,55
14,4,2,0,0,100
45,0,10,0,1,110
111,2,1,44,1,150
64,23,1,0,1,250
22,5,2,213,0,55
62,61,1,129,1,325
20,3,2,0,1,275
4,6,3,0,1,250
6,1,1,0,0,72
21,40,3,365,0,70
13,148,3,42,0,100
9,2,4,8,1,250
113,8,2,0,0,61
21,0,10,0,0,65
11,15,2,179,1,490
11,0,2,0,1,500
21,3,15,7,1,50
23,1,2,97,1,585
15,15,3,124,1,325
12,4,3,0,1,92
30,211,2,339,0,85
81,134,1,249,1,120
56,15,1,17,0,55
15,5,1,0,0,43
4,1,3,0,1,165
16,132,2,265,0,95
11,90,3,184,1,150
12,3,3,5,0,42
28,0,1,0,0,185
7,3,1,0,0,170
49,0,1,0,0,49
6,0,1,0,0,51
1,0,1,306,0,250
23,5,1,0,1,180
147,33,2,0,0,49
6,171,4,137,0,95
79,14,2,0,0,50
3,8,10,157,1,142
19,0,7,0,0,90
3,19,1,285,1,200
19,23,5,0,1,199
15,0,6,101,1,97
21,73,2,170,1,111
82,36,1,350,1,99
115,28,1,73,0,50
31,11,1,331,0,44
28,1,1,365,1,189
10,7,1,0,1,180
12,2,1,1,2,75
2,5,2,135,0,100
19,4,1,0,1,179
6,1,1,0,0,51
64,5,3,0,1,165
49,58,2,9,0,55
6,77,1,239,0,49
23,1,2,0,1,600
2,5,2,365,0,97
21,79,1,178,0,58
8,0,5,0,1,90
73,56,1,48,0,60
17,0,6,47,1,350
39,5,2,0,0,60
56,0,1,2,1,200
12,4,5,0,0,75
70,43,2,172,0,50
6,22,3,96,0,80
6,1,4,0,1,75
28,0,3,0,0,73
7,53,5,239,0,75
1,31,3,0,0,100
12,4,14,0,1,160
20,1,14,0,1,100
12,2,2,0,0,51
8,12,4,11,1,179
20,6,2,0,1,75
102,4,13,0,1,140
32,1,7,0,1,130
5,36,1,180,0,120
17,28,5,192,1,140
9,46,3,175,1,400
12,13,1,0,0,79
9,2,1,249,1,320
2,37,8,170,1,98
6,1,6,0,1,90
56,3,4,101,1,140
28,1,1,0,0,100
2,8,2,330,0,55
21,3,1,0,0,40
21,8,1,305,1,89
61,4,2,19,1,150
21,0,7,40,0,38
12,0,5,0,0,100
19,66,5,232,0,60
19,243,3,142,1,199
12,50,2,322,0,115
11,0,15,0,1,200
39,18,2,344,2,39
12,7,4,8,1,225
14,92,2,219,1,233
25,35,1,364,0,109
12,1,2,13,1,130
4,1,1,0,0,67
64,3,4,0,1,200
2,67,2,63,0,90
64,1,3,0,0,100
7,1,10,170,1,208
6,44,4,249,1,175
4,49,7,64,1,165
2,3,1,57,0,147
65,6,1,87,0,68
71,2,1,298,0,100
12,175,2,68,1,201
22,11,1,0,0,55
198,25,2,318,0,67
162,30,3,48,0,37
3,20,2,4,1,149
32,0,4,0,1,130
19,3,1,0,1,150
84,160,3,256,1,75
12,9,4,0,0,58
15,1,1,0,0,65
28,0,3,10,1,250
8,19,2,163,1,350
2,4,3,0,0,40
12,1,6,0,1,250
79,7,1,32,0,45
12,4,3,0,1,210
30,0,4,0,1,150
15,10,7,365,0,80
7,62,1,351,0,99
79,39,3,300,0,50
7,21,3,3,1,160
4,123,2,64,0,85
6,2,3,0,0,61
4,70,1,102,0,80
25,11,2,303,1,283
54,77,1,345,0,80
11,2,3,265,1,250
15,28,5,62,1,150
12,1,2,22,1,125
25,9,2,163,1,134
68,34,2,12,1,125
6,0,3,25,0,50
35,4,5,346,0,60
8,0,10,128,0,43
180,4,3,180,0,79
113,1,3,0,0,49
12,88,2,223,1,250
22,73,1,334,0,62
114,4,1,64,2,28
11,60,12,0,0,99
8,0,1,157,0,99
12,3,5,179,0,150
12,4,7,0,1,160
50,1,7,0,1,150
12,14,3,0,0,101
4,40,3,78,0,60
70,4,3,85,0,117
59,0,2,365,0,65
49,13,3,1,1,75
25,4,4,0,1,149
28,5,2,0,1,200
1,1,1,0,1,140
20,7,1,213,1,154
12,11,2,83,0,90
32,1,7,0,0,65
12,1,1,0,0,105
10,93,2,154,1,196
99,7,2,60,0,27
15,60,2,7,0,50
68,3,1,0,1,96
30,1,2,0,0,50
8,6,3,0,0,125
54,2,3,245,0,75
29,13,3,9,1,120
12,0,4,188,1,250
11,1,1,0,0,150
6,5,1,0,0,28
12,0,4,0,1,210
22,7,1,176,0,70
7,0,1,0,0,79
46,4,1,119,1,50
6,1,5,84,1,175
6,61,4,82,1,139
7,28,3,141,1,135
63,63,5,19,2,75
68,0,5,0,0,99
12,17,10,0,0,70
6,1,10,365,0,60
69,0,2,180,1,100
49,268,1,139,1,120
12,150,2,64,0,89
7,6,1,299,1,190
43,5,2,333,1,235
8,0,1,88,1,250
21,96,1,365,0,72
21,17,3,16,0,45
2,1,2,0,1,80
18,4,3,237,0,90
7,20,1,359,0,199
6,22,1,257,0,48
43,5,2,335,1,229
183,14,2,105,1,70
163,1,1,87,0,235
6,92,2,139,0,68
15,119,5,3,0,40
24,45,1,303,0,160
53,0,1,0,1,5250
2,1,2,77,0,85
12,0,1,0,0,85
1,66,1,365,2,80
19,62,1,240,1,139
3,4,2,0,1,145
11,10,2,0,1,179
1,172,1,213,1,99
1,0,3,0,1,140
12,60,3,197,1,140
116,0,1,179,0,55
53,191,2,298,1,575
7,4,3,0,1,175
8,0,5,0,1,200
183,14,1,88,0,60
182,36,3,49,0,100
6,14,3,361,2,36
4,5,1,1,2,60
17,66,1,228,0,45
21,0,3,0,1,200
12,0,3,351,0,80
29,3,3,0,1,135
6,8,5,307,0,70
70,119,1,289,1,100
24,3,4,0,1,225
21,76,3,23,0,65
34,38,1,337,0,139
46,347,1,159,0,65
88,199,2,319,1,90
10,21,2,11,1,150
6,4,1,354,0,60
12,1,1,0,1,215
7,0,1,0,0,300
2,2,2,0,0,65
133,71,2,59,0,43
90,0,1,0,1,90
28,3,3,0,0,85
53,18,6,0,0,58
28,2,3,0,1,130
56,67,2,191,1,110
11,207,2,166,1,197
6,209,2,241,1,119
7,130,1,174,1,279
162,33,2,280,0,55
30,36,1,27,2,95
140,4,3,7,0,99
43,1,2,18,0,60
14,0,1,0,1,120
87,4,1,97,0,45
12,52,1,262,1,134
19,2,3,0,0,80
18,2,1,0,1,91
31,1,2,365,0,90
1,0,4,0,0,300
12,0,2,121,0,115
15,0,7,0,0,25
26,0,3,19,1,850
7,4,7,365,0,120
8,0,1,0,1,200
13,55,1,342,0,100
6,3,2,0,1,100
19,9,1,0,1,185
5,0,1,0,1,135
63,24,3,0,1,197
21,1,1,115,0,70
6,50,2,6,1,25
26,3,2,324,2,44
12,0,1,53,1,190
12,175,2,303,1,200
43,0,2,0,1,275
31,7,1,0,0,475
73,0,1,363,0,200
28,90,7,23,0,115
12,8,3,0,0,100
28,39,2,55,0,100
11,2,14,87,1,230
19,1,3,14,0,105
3,84,4,365,0,135
87,34,1,347,0,50
6,43,2,58,0,57
11,86,1,236,1,190
6,9,5,0,1,50
52,4,2,0,0,75
84,91,1,255,1,79
7,31,1,84,1,299
138,79,2,267,1,150
54,32,2,362,0,50
12,1,1,27,0,100
12,0,1,0,0,75
33,37,2,100,1,150
19,142,5,80,0,85
30,19,1,341,2,40
12,10,7,0,1,80
83,91,3,50,1,85
21,0,5,0,0,40
12,2,1,124,0,65
22,13,7,346,0,39
77,1,5,0,1,425
65,81,1,192,0,29
64,101,2,258,1,400
72,33,5,176,0,47
2,33,5,58,0,150
43,2,2,317,1,244
32,5,7,0,1,250
5,1,2,0,1,175
43,2,2,299,1,245
12,38,4,10,0,100
129,57,4,113,1,106
1,14,7,85,1,300
24,131,1,0,0,48
4,0,7,0,1,125
42,138,1,323,0,45
15,1,3,360,0,95
2,6,2,252,1,275
11,0,1,110,1,144
7,26,3,96,1,250
102,0,2,0,1,350
7,0,1,0,1,95
2,46,3,325,1,465
12,13,2,0,1,105
20,0,1,0,0,50
6,100,2,365,0,80
12,2,1,0,1,95
87,10,4,11,0,35
2,13,1,361,0,500
22,42,2,87,1,75
52,22,2,11,1,89
12,59,3,282,0,130
7,0,7,0,0,75
18,26,1,365,0,60
81,15,1,135,0,30
6,6,1,180,0,65
26,2,1,287,1,690
6,2,1,0,0,56
6,3,2,0,0,65
6,0,1,0,0,70
15,0,7,0,0,31
